experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
1,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,78,1_left,0,0,0,0,0,0,1,-0.66,0,11
1,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,78,2_right,0,0.11,0.08,0.06,0.14,0.21,0.4,-0.82,0,8
1,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,78,3_none,0,0,0,0,0,0,0,0,1,61
1,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,60,1_left,0,0,0,0,0,0,1,-0.18,0,16
1,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,60,2_right,0.17,0.06,0.11,0.2,0.07,0.2,0.19,-0.8,0,3
1,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,60,3_none,0,0,0,0,0,0,0,0,1,61
1,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,79,1_left,0,0,0,0,0,0,1,-0.01,0,11
1,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,79,2_right,0,0.08,0.11,0.27,0.04,0.11,0.38,0.1,0,8
1,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,79,3_none,0,0,0,0,0,0,0,0,1,61
1,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,66,1_left,0,0,0,0,0,0,1,0.02,0,4
1,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,66,2_right,0.14,0.27,0.13,0,0,0.06,0.39,0.01,0,4
1,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,66,3_none,0,0,0,0,0,0,0,0,1,72
1,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,110,1_left,0,0,0,0,0,0,1,0.34,0,11
1,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,110,2_right,0.12,0.01,0.14,0.11,0.08,0.08,0.47,1,0,6
1,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,110,3_none,0,0,0,0,0,0,0,0,1,63
1,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,61,1_left,0,0,0,0,0,0,1,0.54,0,2
1,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,61,2_right,0,0.15,0.1,0.06,0.19,0.11,0.38,0.89,0,1
1,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,61,3_none,0,0,0,0,0,0,0,0,1,77
1,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,117,1_left,0,0,0,0,0,0.01,0.99,0.57,0,14
1,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,117,2_right,0.16,0.09,0,0.13,0.19,0,0.44,0.53,0,8
1,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,117,3_none,0,0,0,0,0,0,0,0,1,58
1,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,95,1_left,0,0,0,0,0,0.85,0.15,-0.04,0,9
1,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,95,2_right,0.02,0.13,0.05,0,0,0.7,0.1,-0.04,0,5
1,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,95,3_none,0,0,0,0,0,0,0,0,1,66
1,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,83,1_left,0,0,0,0,0.94,0,0.06,0.03,0,5
1,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,83,2_right,0,0.03,0,0.06,0.76,0,0.14,-0.04,0,6
1,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,83,3_none,0,0,0,0,0,0,0,0,1,69
1,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,65,1_left,0,0,0,0.46,0,0,0.54,-0.01,0,3
1,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,65,2_right,0.07,0.07,0.08,0.59,0.1,0.08,0.02,0.06,0,1
1,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,65,3_none,0,0,0,0,0,0,0,0,1,76
